ImageInstanceUID,width,height
d8ba599611e5,2836,2336
29b23a11d1e4,4256,3488
47d014f9055a,2992,2991
8125a7add80b,4256,3488
32a47637d8f2,4240,3480
8174f49500a5,2846,2330
7c40e04c6163,2880,2540
b050bdb4721f,2802,2801
d351eafe4a11,2872,2416
13db06153828,3056,2544
d51cadde8626,4256,3488
d54f6204b044,2846,2330
96a95d271b79,2808,2874
9e43d7b5ad9c,2802,2801
47e83ede80c1,2832,2320
85ffddb247ad,2779,2284
6a93346150a4,2880,2540
5b687c54d3fd,4256,3488
f7edf5c476c4,3056,2544
2c1ac45ef21f,1717,1315
89fd7f185d77,4248,3480
7dbfb4abc250,3056,2544
ba170bfd0cdc,3408,2800
0b2abfe747bd,2802,2801
4cbc17936e7d,3056,2544
be917938214c,3060,2548
d1744cad68c1,4248,3480
d4131bd4e64a,3056,2544
6e1f00bb51ef,2498,2801
66c5884489fb,2832,2320
9178cdb575d7,4256,3488
588b5f226959,3032,3032
582c442e440b,3056,2544
65c7e68b4942,2836,2336
c46f18ec8e71,3050,2539
2b3e7de602cc,4248,3480
6d496f79fe93,4248,3480
f3cda1e9b492,4240,3480
75c7112673de,4256,3488
b23893fe008e,2846,2330
62871c920ed8,2711,2336
f051f146f514,3052,3052
ff339bf108b4,3407,2800
8f6792bb8de4,3050,2539
08f493a7fb3f,2992,2929
9435525bf9f8,2819,2786
367cc5278161,3056,2544
008ca392cff3,4240,3480
59eff22a4a77,2836,2336
636140b67fd6,4240,3480
a7fd8a671824,4256,3488
12d868a3602e,4248,3480
bd332c501671,2836,2336
e00f9fe0cce5,2828,2320
73a4fda5dd09,3052,2548
60b2b1f5f130,3060,2548
3473624859f0,4256,3488
7f9c98b88aec,2836,2336
6a80fbffe6d9,4256,3488
9daead7ab0b8,2840,2874
0aab55177927,3052,3020
8b55ea197c78,4248,3480
99aa461b2afd,2788,2520
91f8706309e6,3032,2520
d21e8bad3d82,4256,3488
e9a97d1b9a12,3050,2539
efe43aeaa2ee,4248,3480
c3ac3699957d,1387,1140
3019399c31f4,3052,3052
e3518a18a152,3056,2544
f18545f9db39,2836,2336
8847e934d44f,3032,2436
6e0cd6042c9e,2880,2540
a1a1617c0671,2836,2336
887f2a3f5441,1387,1140
11c908b4554b,4248,3480
b1df6b4bfd97,4248,3480
3859c4430778,2840,2874
99bbc821132d,3052,3052
492f66bdea34,2836,2336
66b1f8f4b3cf,1387,1140
b43de320e7d9,3056,2544
f5c8f9719f56,4248,3480
014a736182d3,4256,3488
de95298084e1,2836,2336
e68db35ddaf4,2846,2330
0102b5cac730,3056,2544
5bbe2da53f46,2992,2991
3d34f6d50ed6,3056,2544
c6d076bc56a4,2992,2801
13f2231e9d4b,2446,2010
d8e89f7d9d4c,2832,2320
33c92b6bf73a,2832,2320
